Zone,PickupIndex,PickupName,X,Y,Z
RiddlerLoc_Museum,1,Pickup,11870.796,-30784.043,61438.18
RiddlerLoc_Museum,2,Pickup,13237.055,-29859.56,61791.43
RiddlerLoc_Museum,3,Pickup,10967.156,-27996,63304
RiddlerLoc_Museum,4,Pickup,13402.489,-25534.914,60290
RiddlerLoc_Museum,5,Pickup,8606.903,-25692.01,60288
RiddlerLoc_Museum,6,Pickup,12748.282,-22596.734,61168
RiddlerLoc_Museum,7,Pickup,10944,-17056,60288
RiddlerLoc_Museum,8,Pickup,10177.071,-16607.143,61744.28
RiddlerLoc_Museum,9,Pickup,6866,-18140,60288
RiddlerLoc_Museum,21,Pickup,12647.566,-22811.98,60290.605
RiddlerLoc_Museum,22,Pickup,8192,-17075.84,60288
RiddlerLoc_OWA,1,Pickup,15060.713,-12277.198,-270.691
RiddlerLoc_OWA,2,Pickup,16804.83,-8013.3994,-122.31449
RiddlerLoc_OWA,3,Pickup,16656,-8864,2688
RiddlerLoc_OWA,4,Pickup,19107.537,-9585.934,-130.10107
RiddlerLoc_OWA,7,Pickup,24486.904,-956.07446,382.56387
RiddlerLoc_OWA,8,Pickup,16968.371,-1806.963,-128
RiddlerLoc_OWA,9,Pickup,20448.523,1159.9111,1472
RiddlerLoc_OWA,10,Pickup,17408,8.113098,-128.00012
RiddlerLoc_OWA,11,Pickup,15620,1600,2807.9998
RiddlerLoc_OWA,12,Pickup,15021.811,284.48697,10.747696
RiddlerLoc_OWA,13,Pickup,22864,1792,368
RiddlerLoc_OWA,14,Pickup,23007.459,6433.1636,1664
RiddlerLoc_OWA,15,Pickup,5656.172,-8379.828,292.31268
RiddlerLoc_OWA,18,Pickup,13536,6775,2014
RiddlerLoc_OWA,20,Pickup,12400.945,8264.977,858.8247
RiddlerLoc_OWA,21,Pickup,9660.849,10124.359,2589.0823
RiddlerLoc_OWA,22,Pickup,12329.493,-11097.303,2402.7358
RiddlerLoc_OWA,23,Pickup,11712,-6544,-256
RiddlerLoc_OWA,24,Pickup,12360,-5512,1275.9998
RiddlerLoc_OWA,25,Pickup,11952,-2488,2047.9998
RiddlerLoc_OWA,26,Pickup,9379.463,-431.52167,2492.0347
